ISSN (Online)	ISSN (Print)	JournalTitle	JrId	MedAbbr	NlmId
	 0178-2134	 Advances in immunity and cancer therapy	 285	 Adv Immun Cancer Ther	 8601071
	 0065-2660	 Advances in genetics	 286	 Adv Genet	 0370421
	 0065-2709	 Advances in gerontological research	 287	 Adv Gerontol Res	 0436264
	 0149-9483	 Advances in nutritional research	 288	 Adv Nutr Res	 7802764
 1557-8429	 0065-2725	 Advances in heterocyclic chemistry	 289	 Adv Heterocycl Chem	 0370424
	 0065-275X	 Advances in human genetics	 290	 Adv Hum Genet	 1256347
 1557-8445	 0065-2776	 Advances in immunology	 291	 Adv Immunol	 0370425
	 0190-0218	 Advances in inorganic biochemistry	 292	 Adv Inorg Biochem	 7909203
	 0065-2822	 Advances in internal medicine	 293	 Adv Intern Med	 0370427
	 0065-2849	 Advances in lipid research	 294	 Adv Lipid Res	 0000262
	 0065-2903	 Advances in metabolic disorders	 295	 Adv Metab Disord	 0370430
 2162-5468	 0065-2911	 Advances in microbial physiology	 296	 Adv Microb Physiol	 0117147
	 0084-5957	 Advances in nephrology from the Necker Hospital	 297	 Adv Nephrol Necker Hosp	 0311622
	 0065-2962	 Advances in morphogenesis	 298	 Adv Morphog	 7611906
	 0091-3952	 Advances in neurology	 299	 Adv Neurol	 0367524
	 0001-8724	 Shinkei kenkyu no shimpo. Advances in neurological sciences	 300	 Shinkei Kenkyu No Shimpo	 0067457
	 0270-3106	 Advances in alcohol & substance abuse	 301	 Adv Alcohol Subst Abuse	 8107172
	 0065-3004	 Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie	 302	 Adv Ophthalmol	 0263212
	 0065-3020	 Advances in oral biology	 303	 Adv Oral Biol	 0000261
 1662-2847	 0065-3071	 Advances in oto-rhino-laryngology	 304	 Adv Otorhinolaryngol	 0242534
	 0361-5952	 Advances in prostaglandin and thromboxane research	 305	 Adv Prostaglandin Thromboxane Res	 7610366
 2163-6079	 0065-308X	 Advances in parasitology	 306	 Adv Parasitol	 0370435
	 0099-1147	 Advances in pathobiology	 307	 Adv Pathobiol	 7511090
 1878-1926	 0065-3101	 Advances in pediatrics	 308	 Adv Pediatr	 0370436
	 0568-0107	 Advances in pest control research	 309	 Adv Pest Control Res	 14640020R
	 0065-3136	 Advances in pharmaceutical sciences	 310	 Adv Pharm Sci	 0040024
	 0065-3144	 Advances in pharmacology and chemotherapy	 312	 Adv Pharmacol Chemother	 0237113
	 0260-647X	 Adverse drug reactions and acute poisoning reviews	 313	 Adverse Drug React Acute Poisoning Rev	 8217118
 1557-8941	 0065-3233	 Advances in protein chemistry	 314	 Adv Protein Chem	 0116732
	 0732-8141	 Advances in prostaglandin, thromboxane, and leukotriene research	 315	 Adv Prostaglandin Thromboxane Leukot Res	 8211444
	 0065-3241	 Advances in psychobiology	 316	 Adv Psychobiol	 0337407
 1662-2855	 0065-3268	 Advances in psychosomatic medicine	 317	 Adv Psychosom Med	 0101303
	 0001-866X	 Advancement of science	 318	 Adv Sci	 0370412
	 0065-339X	 Advances in steroid biochemistry and pharmacology	 319	 Adv Steroid Biochem Pharmacol	 1251746
 1878-0555	 0065-3411	 Advances in surgery	 320	 Adv Surg	 0045335
	 0065-3322	 Advances in reproductive physiology	 321	 Adv Reprod Physiol	 7513188
	 0065-3497	 Advances in tracer methodology	 322	 Adv Tracer Methodol	 14640050R
	 0098-0137	 Advances in sex hormone research	 323	 Adv Sex Horm Res	 7504908
	 0092-9816	 Advances in socio-dental research	 324	 Adv Sociodent Res	 0410245
	 0065-3500	 Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose	 325	 Adv Tuberc Res	 0347575
	 0065-3519	 Advances in veterinary science and comparative medicine	 326	 Adv Vet Sci Comp Med	 0216540
	 0195-878X	 Advances in shock research	 327	 Adv Shock Res	 7908298
 1557-8399	 0065-3527	 Advances in virus research	 328	 Adv Virus Res	 0370441
	 0065-3683	 Aeromedical reviews	 329	 Aeromed Rev	 0373063
	 0001-9402	 Aerospace medicine	 330	 Aerosp Med	 7501696
	 0001-9496	 Arztliche Forschung	 331	 Arztl Forsch	 7611907
	 0001-9518	 Arztliche Jugendkunde	 332	 Arztl Jugendkd	 0370444
	 0400-6755	 Asthetische Medizin	 333	 Asthet Med (Berl)	 0253745
 1432-5241	 0364-216X	 Aesthetic plastic surgery	 334	 Aesthetic Plast Surg	 7701756
	 0149-2489	 The AFL-CIO American federationist. AFL-CIO	 335	 AFL CIO Am Fed	 9877748
	 0002-0028	 The African journal of medical sciences	 336	 Afr J Med Sci	 7611908
	 0194-455X	 Aging & leisure living	 337	 Aging Leis Living	 7910857
 1468-2834	 0002-0729	 Age and ageing	 338	 Age Ageing	 0375655
	 0002-0966	 Aging	 339	 Aging	 0050677
	 0065-4299	 Agents and actions	 340	 Agents Actions	 0213341
	 0002-0907	 Aggiornamenti clinicoterapeutici	 341	 Aggiorn Clinico Ter	 0376310
	 0379-0363	 Agents and actions. Supplements	 342	 Agents Actions Suppl	 7801014
	 0944-9175	 Die Agnes Karll-Schwester, der Krankenpfleger	 343	 Agnes Karll Schwest Krankenpfleger	 0321470
	 0002-1148	 Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression	 344	 Agressologie	 0121575
	 0044-6912	 Aichi Gakuin Daigaku Shigakkai shi	 345	 Aichi Gakuin Daigaku Shigakkai Shi	 7501066
		 Archives of interamerican rheumatology : A.I.R	 346	 Arch Interam Rheumatol	 0253226
	 0568-3408	 Air and water pollution	 347	 Air Water Pollut	 0101051
	 0300-5704	 Aktuelle Gerontologie	 348	 Aktuelle Gerontol	 0421403
	 0065-5570	 Aktuelle Oto-Rhino-Laryngologie	 349	 Aktuelle Otorhinolaryngol	 0177222
 1532-818X	 0196-0709	 American journal of otolaryngology	 350	 Am J Otolaryngol	 8000029
	 0065-5589	 Aktuelle Probleme in der Chirurgie	 351	 Aktuelle Probl Chir	 0267464
	 0378-8504	 Aktuelle Probleme in Chirurgie und Orthopadie	 352	 Aktuelle Probl Chir Orthop	 7705398
	 0065-2008	 Adolescent psychiatry	 353	 Adolesc Psychiatry	 1302147
 2412-5679	 0300-9092	 Akusherstvo i ginekologiia	 354	 Akush Ginekol (Mosk)	 0370456
	 0324-0959	 Akusherstvo i ginekologiia	 355	 Akush Ginekol (Sofiia)	 0370455
	 0002-4252	 The Alabama journal of medical sciences	 356	 Ala J Med Sci	 0376521
 1872-7131	 0387-7604	 Brain & development	 357	 Brain Dev	 7909235
	 0002-4317	 The Alabama nurse	 358	 Ala Nurse	 14720150R
	 0279-9529	 American College of Physicians observer	 359	 Am Coll Physicians Obs	 8102266
	 0098-3764	 Bulletin - Alameda County Dental Society	 360	 Bull Alameda Cty Dent Soc	 7503327
	 0192-8562	 The American journal of pediatric hematology/oncology	 361	 Am J Pediatr Hematol Oncol	 7908071
	 0002-4538	 Alaska medicine	 362	 Alaska Med	 0370457
 1533-0311	 0193-1091	 The American Journal of dermatopathology	 363	 Am J Dermatopathol	 7911005
	 0002-4546	 The Alaska nurse	 364	 Alaska Nurse	 0042336
 1530-0277	 0145-6008	 Alcoholism, clinical and experimental research	 365	 Alcohol Clin Exp Res	 7707242
	 0065-6100	 Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology	 366	 Albrecht Von Graefes Arch Klin Exp Ophthalmol	 0044637
		 Alergia	 367	 Alergia	 0140326
	 1110-015X	 Alexandria dental journal : ADJ	 368	 Alex Dent J	 9426498
	 0065-6267	 L' Alimentation et la vie	 369	 Aliment Vie	 0064233
	 0160-9963	 Applied radiology	 370	 Appl Radiol	 7708167
	 0375-8443	 Allergie und Asthma	 371	 Allerg Asthma (Leipz)	 0313664
 1398-9995	 0105-4538	 Allergy	 372	 Allergy	 7804028
	 0516-7132	 Allergie- und Asthmaforschung	 373	 Allerg Asthmaforsch	 0370461
	 0323-4398	 Allergie und Immunologie	 374	 Allerg Immunol (Leipz)	 0314702
	 0190-0331	 Allied health and behavioral sciences	 375	 Allied Health Behav Sci	 7806480
	 0090-7782	 AHME journal	 376	 AHME J	 0362122
 1546-3141	 0361-803X	 AJR. American journal of roentgenology	 377	 AJR Am J Roentgenol	 7708173
	 0001-1479	 AIA journal. American Institute of Architects	 378	 AIA J	 9875078
 1936-959X	 0195-6108	 AJNR. American journal of neuroradiology	 379	 AJNR Am J Neuroradiol	 8003708
 1578-1267	 0301-0546	 Allergologia et immunopathologia	 380	 Allergol Immunopathol (Madr)	 0370073
	 0090-838X	 Alcohol health and research world	 381	 Alcohol Health Res World	 0365245
	 0738-4947	 Alabama medicine : journal of the Medical Association of the State of Alabama	 382	 Ala Med	 8310343
	 0065-6445	 The Alma mater	 383	 Alma Mater (Baltimore)	 14730200R
	 0002-6417	 The Alpha omegan	 384	 Alpha Omegan	 14730480R
	 0084-6252	 Altern und Entwicklung. Aging and development	 385	 Altern Entwickl Aging Dev	 1307126
	 0002-6700	 The Alumnae magazine	 386	 Alumnae Mag	 7706527
	 0069-634X	 Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association)	 387	 Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc	 0042365
	 0073-7119	 Alumni bulletin - School of Dentistry, Indiana University	 388	 Alumni Bull Sch Dent Indiana Univ	 7604908
	 0887-4387	 Alumni bulletin. University of Michigan. School of Dentistry	 389	 Alumni Bull Univ Mich Sch Dent	 21430160R
	 0898-4093	 Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association)	 390	 Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc	 8504267
 1552-3381	 0002-7642	 The American behavioral scientist	 391	 Am Behav Sci	 0055030
	 0002-726X	 American annals of the deaf	 392	 Am Ann Deaf	 0414670
	 0002-7324	 American archives of rehabilitation therapy	 393	 Am Arch Rehabil Ther	 0370464
	 0098-6097	 American Association of Industrial Nurses journal	 394	 Am Assoc Ind Nurses J	 7501070
	 0002-8088	 American corrective therapy journal	 396	 Am Correct Ther J	 0135256
 1532-0650	 0002-838X	 American family physician	 397	 Am Fam Physician	 1272646
 1097-6744	 0002-8703	 American heart journal	 398	 Am Heart J	 0370465
	 0160-3450	 American pharmacy	 399	 Am Pharm	 7801164
	 0362-4048	 American rehabilitation	 400	 Am Rehabil	 7610370
 1085-7931	 0065-860X	 The American imago; a psychoanalytic journal for the arts and sciences	 401	 Am Imago	 0370466
	 0007-4764	 American journal of art therapy	 402	 Am J Art Ther	 0237447
	 0002-8894	 American Industrial Hygiene Association journal	 403	 Am Ind Hyg Assoc J	 0371160
	 0002-8304	 American education	 404	 Am Educ	 7703832
	 0098-6119	 Annual meeting - American Institute of Oral Biology	 405	 Annu Meet Am Inst Oral Biol	 7501078
	 0002-9106	 The American journal of anatomy	 406	 Am J Anat	 0376312
 1537-2197	 0002-9122	 American journal of botany	 407	 Am J Bot	 0370467
 1879-1913	 0002-9149	 The American journal of cardiology	 408	 Am J Cardiol	 0207277
	 0090-2942	 The American journal of Chinese medicine	 409	 Am J Chin Med (Gard City N Y)	 0354717
 1793-6853	 0192-415X	 The American journal of Chinese medicine	 410	 Am J Chin Med	 7901431
 2160-0562	 0002-9157	 The American journal of clinical hypnosis	 411	 Am J Clin Hypn	 0100626
 1938-3207	 0002-9165	 The American journal of clinical nutrition	 412	 Am J Clin Nutr	 0376027
 1537-453X	 0277-3732	 American journal of clinical oncology	 413	 Am J Clin Oncol	 8207754
 1943-7722	 0002-9173	 American journal of clinical pathology	 414	 Am J Clin Pathol	 0370470
 1573-2770	 0091-0562	 American journal of community psychology	 415	 Am J Community Psychol	 0364535
 1097-6752	 0889-5406	 American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics	 416	 Am J Orthod Dentofacial Orthop	 8610224
	 0002-9211	 The American journal of digestive diseases	 417	 Am J Dig Dis	 0404011
	 0002-9246	 American journal of economics and sociology	 418	 Am J Econ Sociol	 14820160R
 2374-3018	 0002-922X	 American journal of diseases of children (1960)	 419	 Am J Dis Child	 0370471
 1097-9891	 0095-2990	 The American journal of drug and alcohol abuse	 420	 Am J Drug Alcohol Abuse	 7502510
 1476-6256	 0002-9262	 American journal of epidemiology	 421	 Am J Epidemiol	 7910653
 1096-8652	 0361-8609	 American journal of hematology	 422	 Am J Hematol	 7610369
 1523-6838	 0272-6386	 American journal of kidney diseases : the official journal of the National Kidney Foundation	 423	 Am J Kidney Dis	 8110075
	 0363-7719	 American journal of health planning	 424	 Am J Health Plann	 7701759
 1533-404X	 0195-7910	 The American journal of forensic medicine and pathology	 425	 Am J Forensic Med Pathol	 8108948
 1572-0241	 0002-9270	 The American journal of gastroenterology	 426	 Am J Gastroenterol	 0421030
	 0002-9289	 American journal of hospital pharmacy	 427	 Am J Hosp Pharm	 0370474
 1537-6605	 0002-9297	 American journal of human genetics	 428	 Am J Hum Genet	 0370475
 1097-0274	 0271-3586	 American journal of industrial medicine	 429	 Am J Ind Med	 8101110
	 0098-8588	 American journal of law & medicine	 430	 Am J Law Med	 7509572
 1555-7162	 0002-9343	 The American journal of medicine	 431	 Am J Med	 0267200
	 0096-5286	 The American journal of medical electronics	 432	 Am J Med Electron	 0061651
 1538-2990	 0002-9629	 The American journal of the medical sciences	 433	 Am J Med Sci	 0370506
 1096-8628	 0148-7299	 American journal of medical genetics	 434	 Am J Med Genet	 7708900
	 0002-9335	 The American journal of medical technology	 435	 Am J Med Technol	 0370505
	 0002-9351	 American journal of mental deficiency	 436	 Am J Ment Defic	 0372647
 1421-9670	 0250-8095	 American journal of nephrology	 437	 Am J Nephrol	 8109361
 1538-7488	 0002-936X	 The American journal of nursing	 438	 Am J Nurs	 0372646
 1097-6868	 0002-9378	 American journal of obstetrics and gynecology	 439	 Am J Obstet Gynecol	 0370476
 1943-7676	 0272-9490	 The American journal of occupational therapy : official publication of the American Occupational Therapy Association	 440	 Am J Occup Ther	 7705978
 1879-1891	 0002-9394	 American journal of ophthalmology	 441	 Am J Ophthalmol	 0370500
 2330-9474	 0002-9408	 American journal of optometry and archives of American Academy of Optometry	 442	 Am J Optom Arch Am Acad Optom	 0420462
 2330-9512	 0093-7002	 American journal of optometry and physiological optics	 443	 Am J Optom Physiol Opt	 0417614
	 0002-9416	 American journal of orthodontics	 444	 Am J Orthod	 0370501
	 0065-9002	 The American journal of orthopedic surgery	 445	 Am J Orthop Surg	 7611912
 1939-0025	 0002-9432	 The American journal of orthopsychiatry	 446	 Am J Orthopsychiatry	 0400640
	 0192-9763	 The American journal of otology	 447	 Am J Otol	 7909513
 1553-6467	 0002-9459	 American journal of pharmaceutical education	 448	 Am J Pharm Educ	 0372650
 1525-2191	 0002-9440	 The American journal of pathology	 449	 Am J Pathol	 0370502
	 0002-9467	 American journal of pharmacy and the sciences supporting public health	 450	 Am J Pharm Sci Support Public Health	 0416354
 1096-8644	 0002-9483	 American journal of physical anthropology	 451	 Am J Phys Anthropol	 0400654
	 0002-9491	 American journal of physical medicine	 452	 Am J Phys Med	 0370503
 2163-5773	 0002-9513	 The American journal of physiology	 453	 Am J Physiol	 0370511
	 0569-6054	 American journal of practical nursing	 454	 Am J Pract Nurs	 0001470
	 0002-9521	 American journal of proctology	 455	 Am J Proctol	 0370472
	 0162-6566	 American journal of proctology, gastroenterology & colon & rectal surgery	 456	 Am J Proctol Gastroenterol Colon Rectal Surg	 7910860
 1535-7228	 0002-953X	 The American journal of psychiatry	 457	 Am J Psychiatry	 0370512
 1573-6741	 0002-9548	 American journal of psychoanalysis	 458	 Am J Psychoanal	 0372630
 1939-8298	 0002-9556	 The American journal of psychology	 459	 Am J Psychol	 0370513
 2575-6559	 0002-9564	 American journal of psychotherapy	 460	 Am J Psychother	 0110672
 1541-0048	 0090-0036	 American journal of public health	 461	 Am J Public Health	 1254074
 2374-8192	 8755-8920	 American journal of reproductive immunology and microbiology : AJRIM	 463	 Am J Reprod Immunol Microbiol	 8501543
	 0002-9580	 The American journal of roentgenology, radium therapy, and nuclear medicine	 465	 Am J Roentgenol Radium Ther Nucl Med	 7605534
	 0002-9238	 The American journal of EEG technology	 466	 Am J EEG Technol	 0370504
 1552-3365	 0363-5465	 The American journal of sports medicine	 467	 Am J Sports Med	 7609541
	 0001-1843	 American medical news	 468	 Am Med News	 0226412
 1537-5390	 0002-9602	 AJS; American journal of sociology	 469	 AJS	 0234014
 1532-0979	 0147-5185	 The American journal of surgical pathology	 470	 Am J Surg Pathol	 7707904
 1879-1883	 0002-9610	 American journal of surgery	 471	 Am J Surg	 0370473
	 0002-9718	 American laundry digest	 472	 Am Laund Dig	 9877761
 1476-1645	 0002-9637	 The American journal of tropical medicine and hygiene	 473	 Am J Trop Med Hyg	 0370507
 1943-5681	 0002-9645	 American journal of veterinary research	 474	 Am J Vet Res	 0375011
	 0098-1486	 The American nurse	 475	 Am Nurse	 7506499
	 0092-5659	 American Lung Association bulletin	 476	 Am Lung Assoc Bull	 0404016
 1553-4448	 0065-955X	 The American orthoptic journal	 477	 Am Orthopt J	 0370520
 1935-990X	 0003-066X	 The American psychologist	 478	 Am Psychol	 0370521
	 0003-0805	 The American review of respiratory disease	 479	 Am Rev Respir Dis	 0370523
 1545-2786	 0003-0996	 American scientist	 480	 Am Sci	 0370514
 1939-8271	 0003-1224	 American sociological review	 481	 Am Sociol Rev	 0370515
 1555-9823	 0003-1348	 The American surgeon	 482	 Am Surg	 0370522
	 0003-1569	 American zoologist	 483	 Am Zool	 0370516
 1678-2690	 0001-3765	 Anais da Academia Brasileira de Ciencias	 484	 An Acad Bras Cienc	 7503280
 1806-4841	 0365-0596	 Anais brasileiros de dermatologia	 485	 An Bras Dermatol	 0067662
	 0365-0677	 Anais brasileiros de ginecologia	 486	 An Bras Ginecol	 1263440
	 0066-1465	 Anales de cirugia	 487	 An Cir (Rosario)	 0376524
	 0075-9767	 Anais da Escola Nacional de Saude Publica e de Medicina Tropical	 488	 An Esc Nacl Saude Publica Med Trop (Lisb)	 7500780
	 0190-0471	 Analytical and quantitative cytology	 489	 Anal Quant Cytol	 7911206
	 0003-2557	 Anales espanoles de odontoestomatologia	 490	 An Esp Odontoestomatol	 0370533
 1577-2799	 0302-4342	 Anales espanoles de pediatria	 491	 An Esp Pediatr	 0420463
		 Anales. Universidad Nacional Mayor de San Marcos. Facultad de Medicina	 492	 An Fac Med Lima	 18330640R
	 0365-2297	 Anales de la Facultad de Medicina, Universidad de la Republica, Montevideo, Uruguay	 493	 An Fac Med Univ Repub Montev Urug	 7506831
	 0797-034X	 Anales de la Facultad de Odontologia	 494	 An Fac Odontol	 7506832
	 0083-3908	 Anais da Faculdade de Odontologia da Universidade Federal de Pernambuco	 495	 An Fac Odontol Univ Fed Pernambuco	 7502729
	 0174-1837	 Anasthesie, Intensivtherapie, Notfallmedizin	 496	 Anasth Intensivther Notfallmed	 8005775
	 0303-7762	 Anais do Instituto de Higiene e Medicina Tropical	 498	 An Inst Hig Med Trop (Lisb)	 7500781
		 Anales - Instituto de Investigaciones Odontologicas, Universidad del Zulia	 499	 An Inst Invest Odontol (Maracaibo)	 7506829
	 0365-3307	 Anais do Instituto de Medicina Tropical	 500	 An Inst Med Trop (Lisb)	 7502512
	 0517-6816	 Anales de medicina: Cirugia	 501	 An Med Cir (1955)	 0377477
	 0517-6832	 Anales de medicina: Especialidades	 502	 An Med Espec	 0400163
	 0517-6824	 Anales de medicina: Medicina	 503	 An Med Med	 0377500
	 0485-1854	 Anais de microbiologia	 504	 An Microbiol (Rio J)	 0413653
	 0303-8874	 Anales otorrinolaringologicos ibero-americanos	 505	 An Otorrinolaringol Ibero Am	 7605535
	 0003-245X	 Anais paulistas de medicina e cirurgia	 506	 An Paul Med Cir	 0373070
	 0300-9025	 Anales del Programa Academico de Medicina	 507	 An Programa Acad Med (Lima)	 0264671
 1697-4298	 0034-0618	 Anales de la Real Academia de Farmacia	 508	 An Real Acad Farm	 14490140R
 2605-2512	 0034-0634	 Anales de la Real Academia Nacional de Medicina	 509	 An R Acad Nac Med (Madr)	 7505188
